DATE,SPY_3M IMPLIED VOL,high,close,low,open,SPY_SHORT INTEREST RATIO,XBI_3M IMPLIED VOL,XBI_HIGH,XBI_LAST,XBI_LOW,XBI_OPEN,XBI_SHORT INTEREST RATIO,XLI_3M IMPLIED VOL,XLI_HIGH,XLI_LAST,XLI_LOW,XLI_OPEN,XLI_SHORT INTEREST RATIO,XLK_3M IMPLIED VOL,XLK_HIGH,XLK_LAST,XLK_LOW,XLK_OPEN,XLK_SHORT INTEREST RATIO,XLP_3M IMPLIED VOL,XLP_HIGH,XLP_LAST,XLP_LOW,XLP_OPEN,XLP_SHORT INTEREST RATIO,XLU_3M IMPLIED VOL,XLU_HIGH,XLU_LAST,XLU_LOW,XLU_OPEN,XLU_SHORT INTEREST RATIO,XLV_3M IMPLIED VOL,XLV_HIGH,XLV_LAST,XLV_LOW,XLV_OPEN,XLV_SHORT INTEREST RATIO,XLY_3M IMPLIED VOL,XLY_HIGH,XLY_LAST,XLY_LOW,XLY_OPEN,XLY_SHORT INTEREST RATIO,XOP_3M IMPLIED VOL,XOP_HIGH,XOP_LAST,XOP_LOW,XOP_OPEN,XOP_SHORT INTEREST RATIO,XRT_3M IMPLIED VOL,XRT_HIGH,XRT_LAST,XRT_LOW,XRT_OPEN,XRT_SHORT INTEREST RATIO,tweet_sentiment,news_sentiment,ADX,APO,AROONOSC,BOP,CCI,CMO,MACD,MACDSIGNAL,MACDHIST,MOM,RSI,STOCH_FASTK,STOCH_FASTD,STOCHRSI_K,STOCHRSI_D,TRIX,ULTOSC,WILLR,SMA,EMA,WMA,DEMA,TRIMA,KAMA,MAMA,FAMA,PLUS_DI,MINUS_DI,SAR,AROON_DOWN,AROON_UP,WCLPRICE,TYPPRICE,MEDPRICE,ROC,AVGPRICE,BBANDS_UPPER,BBANDS_MIDDLE,BBANDS_LOWER,ATR,NATR,TRANGE,CHANDELIER_EXIT_LONG,CHANDELIER_EXIT_SHORT,HT_DCPERIOD,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_TRENDMODE,LOG_RET
2015-01-02,14.0384,206.88,205.43,204.18,206.38,2.673,32.6321,63.3167,62.8033,61.6867,62.65,16.416,15.861,56.94,56.51,56.02,56.86,4.346,15.3168,41.71,41.27,41.0601,41.61,1.535,12.1368,48.73,48.35,48.05,48.62,4.837,14.5923,47.67,47.44,46.905,47.67,8.022,16.7413,69.3501,68.63,68.35,68.71,7.141,15.6727,72.6545,71.63,71.14,72.53,3.199,44.7402,195.16,193.4,187.32,189.2,6.051,18.0554,48.425,47.67,47.305,48.225,10.932,-0.1319340329835082,0.0757763975155279,25.79913358482832,0.44809047619000353,14.285714285714286,-0.35185185185184914,0.966193010726544,0.6839371617688791,0.8508839310229916,0.8765217529015994,-0.025637821878607747,3.640000000000015,50.34196858088444,26.0960334029228,14.35827489822673,0.0,-3.0316490059097606e-13,0.051450065536418066,34.15609195824284,-49.90072799470549,205.1514285714288,206.13394661658467,206.4533333333246,206.86306432167024,206.13160714285718,204.40934718251023,205.94793920921123,204.77183540181107,25.920494408649063,25.759050164741694,200.37207131421346,21.42857142857143,35.714285714285715,205.48000000000002,205.49666666666667,205.53,1.8038554933346607,205.7175,211.55587146440286,205.41050500000006,199.26513853559726,2.296904430804461,1.1180959114075164,2.6999999999999886,206.2408847074186,204.58911529258143,21.5847244988606,2.537931077491549,-6.082919239040332,0,0.007181447117464658
2015-01-05,14.1676,204.37,201.72,201.35,204.17,2.673,32.9791,64.16,63.0,62.2134,62.5667,16.416,15.9941,56.26,55.19,55.065,56.04,4.346,15.4316,41.12,40.64,40.52,41.12,1.535,12.284,48.37,48.01,47.88,48.26,4.837,14.7087,47.6,46.86,46.65,47.6,8.022,16.8727,68.875,68.28,68.15,68.32,7.141,15.7814,71.53,70.26,70.11,71.36,3.199,45.1822,189.2,181.0,179.56,188.8,6.051,18.1551,47.605,47.13,46.91,47.605,10.932,-0.1026011560693641,0.1161178509532062,25.04442387699003,1.0593999999995276,14.285714285714286,-0.8112582781456888,-73.96678471272207,-19.186863642718894,0.4267143305502259,0.7865602684313246,-0.35984593788109875,-5.060000000000002,40.406568178640555,4.855643044619479,11.713873527206646,0.0,-3.0316490059097606e-13,0.04447783217391699,29.612874788045513,-74.4540039708803,205.2107142857145,205.54542040104005,205.99580952380077,205.6672663586422,206.5664285714286,204.38853545370395,203.8339696046056,204.5373689525097,22.80451407572349,31.00078104043463,200.6240298879292,14.285714285714286,28.571428571428573,202.29000000000002,202.48000000000002,202.86,-2.4470451687784167,202.9025,211.36847205521138,205.1135050000001,198.8585379447888,2.424268400032715,1.2017987309303564,4.0800000000000125,205.99038994799048,204.83961005200956,20.64909872925872,1.5512610642904443,-3.456028317137945,0,-0.018224746095895195
2015-01-06,14.3399,202.72,199.82,198.855,202.09,2.673,33.266,63.7467,61.4333,60.6667,63.3267,16.416,16.159,55.31,54.51,54.16,55.25,4.346,15.6105,40.76,40.15,39.96,40.76,1.535,12.4192,48.47,47.95,47.81,48.35,4.837,14.8295,47.72,46.89,46.86,46.88,8.022,17.0057,69.09,68.05,67.63,68.51,7.141,15.9218,70.574,69.56,69.09,70.55,3.199,45.74,182.44,175.52,172.68,180.0,6.051,18.3101,47.37,46.63,46.235,47.0,10.932,0.0255033557046979,0.0505689001264222,25.12023384983561,1.268566666666203,14.285714285714286,-0.587322121604141,-124.44092402601756,-27.119719943852573,-0.06204207244749682,0.6168398002555604,-0.6788818727030572,-6.700000000000017,36.440140028073706,10.141881240147155,13.697852562562913,0.0,-3.0316490059097606e-13,0.030297453142935638,30.076990276679627,-87.02845797485122,205.2328571428574,204.78203101423472,205.27704761903885,204.2260267089253,206.73678571428573,204.36414498307394,203.50366312164704,204.4948375221503,20.31332616694771,34.66613401348401,212.97,7.142857142857143,21.42857142857143,200.30374999999998,200.465,200.7875,-3.244237846213449,200.87125,211.215523140181,204.7045050000001,198.1934868598192,2.527177800030379,1.2647271544541983,3.865000000000009,205.78059949580907,205.04940050419094,19.78948151277157,1.1076255281569745,-3.3893630016979093,0,-0.009463635903652042
2015-01-07,14.4772,202.72,202.31,200.88,201.42,2.673,33.4782,63.9433,63.89,62.3187,62.3333,16.416,16.3181,55.16,54.92,54.65,55.02,4.346,15.7379,40.59,40.49,40.2,40.46,1.535,12.5091,48.83,48.77,48.25,48.3,4.837,14.9492,47.545,47.35,46.8,47.18,8.022,17.1081,69.67,69.65,68.36,68.51,7.141,16.0146,70.73,70.66,70.01,70.73,3.199,46.2141,179.638,173.76,171.96,179.16,6.051,18.4068,47.85,47.85,47.1,47.34,10.932,-0.0514851485148514,0.1252285191956124,25.19062882462079,1.1670190476185383,14.285714285714286,0.4836956521739202,-100.72509204328034,-11.651428732133697,-0.2456313674178432,0.44434556672087966,-0.6899769341387229,-5.159999999999997,44.17428563393315,37.0112479914302,17.336257425398713,54.29394745190799,18.097982483969027,0.015824454159707457,36.85948617085874,-72.61580381471384,205.54714285714311,204.4524268790034,204.88733333332456,203.68489956386813,206.6501785714286,204.29675259315346,202.90683156082352,204.09783603181862,18.665684491902816,31.85431645864926,212.6877,0.0,14.285714285714286,202.055,201.97000000000003,201.8,-2.48710656962452,201.8325,211.01859420308193,204.48950500000007,197.9604157969182,2.5538079571710663,1.2623241348282668,2.9000000000000057,205.7119358823632,205.1180641176368,19.052788471537426,-0.08120088390993632,-4.809165990935632,0,0.012384213184449983
2015-01-08,14.5777,206.16,205.9,203.99,204.01,2.673,33.663,65.3666,65.3067,64.31,65.0,16.416,16.4161,56.05,56.02,55.29,55.41,4.346,15.8386,41.47,41.38,40.76,40.82,1.535,12.5756,49.57,49.51,49.1,49.2,4.837,15.0408,47.86,47.68,47.51,47.63,8.022,17.2017,70.92,70.84,70.22,70.34,7.141,16.106,71.82,71.72,70.92,71.25,3.199,46.5883,181.08,179.64,173.64,175.04,6.051,18.5318,48.575,48.495,48.165,48.405,10.932,0.1005067567567567,0.1383432963279248,23.72297606585392,1.1491619047613995,7.142857142857143,0.8709677419354958,-21.89827828774056,6.091114892006254,-0.10028814988842782,0.33541882339901813,-0.43570697328744595,-1.8499999999999943,53.04555744600312,87.7881619937696,44.98043040844876,100.0,51.43131581730236,0.007025725571674357,42.627597476324055,-50.088558271342464,205.84071428571454,204.6454366284696,204.93438095237215,204.14752140488974,206.32517857142858,204.34576915996675,203.05648998278232,204.07180238059271,26.01091423629623,28.54417443329833,212.411046,0.0,7.142857142857143,205.4875,205.35,205.075,-0.8904933814681049,205.015,210.96017294380582,204.46100500000009,197.96183705619436,2.6463931030874184,1.285280768862272,3.8499999999999943,205.51684788771033,205.31315211228969,18.432874691390808,-2.1439160507973334,-4.6063379739599295,0,0.017589439544421364
2015-01-09,14.7021,206.42,204.25,203.51,206.4,2.673,33.8223,65.8767,65.3567,64.3663,65.6667,16.416,16.5435,56.15,55.42,55.33,56.09,4.346,15.9418,41.6,41.25,40.9499,41.5,1.535,12.6622,49.67,49.11,49.11,49.67,4.837,15.138,47.81,47.38,47.13,47.69,8.022,17.3126,70.98,70.21,69.97,70.9,7.141,16.206,71.77,70.89,70.81,71.71,3.199,46.8959,182.08,181.04,175.72,180.4,6.051,18.625,48.25,47.625,47.59,48.18,10.932,-0.0438144329896907,0.0948693126815101,22.530004779282244,0.9865428571423536,-78.57142857142857,-0.7388316151202777,-34.95803636848061,-1.6449885658721464,-0.11689630538660367,0.24495579764189376,-0.36185210302849746,-3.5200000000000102,49.17750571706392,71.3152676801059,65.37155922176834,76.70608554071795,77.00001099754168,-8.190383220529895e-05,41.93361337457456,-46.66337123084523,205.66000000000025,204.59271174467366,204.72228571427692,204.1154903182813,205.81660714285712,204.3437744765464,203.11616548364321,204.04791145816898,23.982357524254915,27.604463235779114,212.13992508,78.57142857142857,0.0,204.6075,204.72666666666666,204.96499999999997,-1.6941810656013856,205.14499999999998,210.98834628273312,204.5155000000001,198.04265371726706,2.6652221671526024,1.3048823339792424,2.9099999999999966,205.45880934735987,205.37119065264014,17.935058351850806,-3.236024300277007,-3.087721285127674,0,-0.008045880293631558
2015-01-12,14.856,204.6,202.65,201.92,204.41,2.673,34.0506,67.16,65.9767,65.41,66.7633,16.416,16.6938,55.51,55.04,54.79,55.46,4.346,16.1245,41.33,40.77,40.63,41.23,1.535,12.7764,49.35,48.96,48.83,49.09,4.837,15.2487,47.59,47.27,46.96,47.43,8.022,17.4395,70.996,70.24,70.05,70.75,7.141,16.3249,71.12,70.51,70.22,71.03,3.199,47.3118,177.3,172.4,170.4,177.04,6.051,18.7305,47.955,47.725,47.21,47.745,10.932,-0.1831187410586552,0.0790067720090293,21.964778291492486,0.5858333333328574,-35.714285714285715,-0.6567164179104427,-76.01292524479533,-8.604649476284184,-0.25621156903460474,0.14472232430659404,-0.4009338933411988,-5.789999999999992,45.69767526185791,50.16523463317934,69.75622143568472,55.75009047221263,77.4853920043099,-0.008006417888017925,42.95456161386683,-62.48146317350457,205.38357142857168,204.3336835120505,204.32095238094357,203.69560047423704,205.2417857142857,204.28975869389217,203.09285720946104,204.02403510195128,22.26051572417363,29.882117898001493,211.8742265784,71.42857142857143,35.714285714285715,202.95499999999998,203.05666666666664,203.26,-2.777777777777779,203.39499999999998,210.9614480298294,204.4385000000001,197.91555197017078,2.666277726641703,1.3157057619746868,2.680000000000007,205.43477255884352,205.3952274411565,17.5499507759883,-4.367088805984235,-2.033179239142732,0,-0.007864380665794698
2015-01-13,14.9797,205.48,202.08,200.51,204.12,2.673,34.1821,67.2366,65.49,64.5067,66.8367,16.416,16.9459,55.93,54.93,54.41,55.5,4.346,16.3382,41.615,40.74,40.45,41.11,1.535,12.9156,49.56,48.95,48.66,49.29,4.837,15.3149,48.14,47.4,47.16,47.52,8.022,17.6187,71.29,69.93,69.34,70.9,7.141,16.4394,71.69,70.51,69.96,71.29,3.199,47.6873,176.04,171.44,168.44,173.84,6.051,18.8923,48.385,47.315,47.02,47.97,10.932,-0.0599520383693045,0.0841584158415841,21.881289095516177,0.21214285714233938,-35.714285714285715,-0.41046277665995823,-74.12924264176723,-11.02023489002715,-0.4079119998809517,0.03419545946908488,-0.4421074593500366,-6.639999999999986,44.48988255498642,26.565143824027455,49.34854871243734,3.5575160781780935,45.33789736370259,-0.016795021834647983,40.33086767504108,-68.11665842807692,204.9985714285717,204.03319237711042,203.88047619046733,203.2197614273907,204.62464285714285,204.176502174215,203.04221434898798,203.99948958312717,19.468936933830676,29.692518589054885,211.613842046832,64.28571428571429,28.571428571428573,202.53750000000002,202.69000000000003,202.995,-3.181295515523186,203.0475,210.9111758123289,204.4980000000001,198.0848241876713,2.830829317595867,1.400845861834851,4.969999999999999,205.09955562435061,205.7304443756494,17.234859860930445,-5.317779953371248,2.019409473113293,0,-0.0028166944721365324
2015-01-14,15.1075,201.1,200.86,198.57,199.65,2.673,34.2616,66.6333,66.5067,64.6067,64.9433,16.416,17.0641,54.71,54.63,53.98,54.26,4.346,16.4482,40.69,40.51,40.139,40.41,1.535,13.0282,48.85,48.8,48.46,48.58,4.837,15.4052,47.88,47.81,47.09,47.4,8.022,17.7619,69.995,69.82,69.07,69.26,7.141,16.5618,69.93,69.66,68.86,69.56,3.199,47.8457,176.56,176.12,166.52,169.24,6.051,18.9713,47.23,47.14,46.56,46.76,10.932,-0.1209302325581395,0.1048593350383631,22.351663321924462,-0.4180952380957592,-78.57142857142857,0.47826086956522035,-121.71526822558458,-16.129707902567123,-0.6194389813146302,-0.09653142868765813,-0.522907552626972,-6.739999999999981,41.93514604871644,29.171974522293276,35.3007843264998,0.0,19.769202183463275,-0.0273296776866494,46.09287211360273,-77.98076923076906,204.50642857142884,203.61010006016238,203.32866666665782,202.53844656238365,204.0285714285714,203.9485434950121,202.9331036315386,203.97282993433745,17.773708840396026,31.91969596539189,211.35866520589536,100.0,21.42857142857143,200.3475,200.17666666666665,199.83499999999998,-3.2466281310211897,200.045,210.79298576873757,204.5655000000001,198.33801423126263,2.8793415091961636,1.4335066758917472,3.5100000000000193,204.9786667323347,205.85133326766532,16.946876374945518,-3.1180784240545405,6.867294207023636,1,-0.006055510636987981
2015-01-15,15.2828,202.01,199.0199,198.88,201.63,1.312,34.4748,66.7766,64.0367,63.9333,66.7,12.483,17.2223,55.05,54.37,54.33,54.85,3.152,16.7559,40.78,39.99,39.96,40.68,1.831,13.1492,49.18,48.88,48.69,49.12,2.309,15.5389,48.32,48.19,47.75,47.89,3.057,17.9061,70.21,69.07,69.0301,70.08,3.081,16.7461,70.1,68.76,68.74,69.82,2.127,48.09,180.8,170.2,169.96,180.76,3.364,19.065,47.435,46.06,46.06,46.82,5.261,-0.1904218928164196,0.0921161825726141,22.360458105939987,-1.203098809524306,-78.57142857142857,-0.8338977635782723,-107.3761227456185,-23.285061103125045,-0.9248947191180434,-0.2622040867737352,-0.6626906323443083,-6.520099999999985,38.35746944843748,5.731210191082981,20.489442845801012,0.0,1.1858386927257314,-0.04092345040481726,44.09722887598755,-95.67403846153833,203.88142142857168,202.99807338547407,202.59712952380067,201.5388839026693,203.52589107142856,203.51815878182356,200.9765018157693,203.22374790469541,18.645677184254144,29.456552415538162,210.84711859765955,92.85714285714286,14.285714285714286,199.73245,199.96996666666666,200.445,-3.1721805974506134,200.384975,210.62606452847515,204.62099500000008,198.615925471525,2.897245687110723,1.455756779654056,3.1299999999999955,204.91509097177402,205.914909028226,16.678393369173122,0.7217372378092433,5.822810549623969,1,-0.00920332824036727
