date,label
2013-06-28,0.0
2013-10-30,0.0
2013-12-29,0.0
2014-01-28,-1.0
2014-02-02,-1.0
2014-02-11,-1.0
2014-02-24,-1.0
2014-03-06,0.0
2014-03-20,1.0
2014-04-23,0.0
2014-04-30,-1.0
2014-05-17,1.0
2014-05-29,-1.0
2014-05-31,1.0
2014-06-11,1.0
2014-06-12,0.0
2014-07-31,0.0
2014-08-01,0.0
2014-08-05,0.0
2014-08-12,0.0
2014-08-22,-1.0
2014-08-24,-0.6666666666666666
2014-09-13,0.0
2014-09-22,0.0
2014-11-12,1.0
2014-11-16,0.0
2014-12-20,0.0
2015-01-01,-0.17777777777777778
2015-01-02,-0.13193403298350825
2015-01-03,-0.017241379310344827
2015-01-04,-0.03669724770642202
2015-01-05,-0.10260115606936417
2015-01-06,0.025503355704697986
2015-01-07,-0.05148514851485148
2015-01-08,0.10050675675675676
2015-01-09,-0.04381443298969072
2015-01-10,-0.08181818181818182
2015-01-11,-0.05555555555555555
2015-01-12,-0.18311874105865522
2015-01-13,-0.05995203836930456
2015-01-14,-0.12093023255813953
2015-01-15,-0.1904218928164196
2015-01-16,-0.17294117647058824
2015-01-17,-0.11046511627906977
2015-01-18,-0.13580246913580246
2015-01-19,-0.072
2015-01-20,0.09983361064891846
2015-01-21,0.15009560229445507
2015-01-22,-0.1036970243462579
2015-01-23,0.08071278825995808
2015-01-24,-0.0625
2015-01-25,-0.012422360248447204
2015-01-26,0.1552917903066271
2015-01-27,0.07653319817536747
2015-01-28,0.12618963694043003
2015-01-29,0.022747546833184657
2015-01-30,0.11507479861910241
2015-01-31,0.00980392156862745
2015-02-01,0.15753424657534246
2015-02-02,0.11214953271028037
2015-02-03,-0.043909348441926344
2015-02-04,0.06538461538461539
2015-02-05,-0.017660044150110375
2015-02-06,-0.01602136181575434
2015-02-07,-0.013513513513513514
2015-02-08,-0.05844155844155844
2015-02-09,0.06702898550724638
2015-02-10,0.2542134831460674
2015-02-11,-0.016713091922005572
2015-02-12,-0.10519062930638494
2015-02-13,0.03580786026200873
2015-02-14,0.04437869822485207
2015-02-15,-0.16326530612244897
2015-02-16,-0.09558823529411764
2015-02-17,-0.023728813559322035
2015-02-18,-0.018900343642611683
2015-02-19,-0.012738853503184714
2015-02-20,0.06183115338882283
2015-02-21,-0.017045454545454544
2015-02-22,0.11042944785276074
2015-02-23,0.09868421052631579
2015-02-24,-0.02866593164277839
2015-02-25,-0.17745620715917745
2015-02-26,0.005405405405405406
2015-02-27,-0.046228710462287104
2015-02-28,-0.13333333333333333
2015-03-01,-0.07746478873239436
2015-03-02,-0.00576036866359447
2015-03-03,0.04341926729986431
2015-03-04,0.0013440860215053765
2015-03-05,-0.10819327731092437
2015-03-06,-0.11891891891891893
2015-03-07,-0.04950495049504951
2015-03-08,0.006289308176100629
2015-03-09,-0.033390705679862305
2015-03-10,-0.10753598645215919
2015-03-11,-0.11400966183574879
2015-03-12,-0.035024154589371984
2015-03-13,-0.13618157543391188
2015-03-14,-0.022988505747126436
2015-03-15,-0.24864864864864866
2015-03-16,-0.005788712011577424
2015-03-17,0.002442002442002442
2015-03-18,0.06241331484049931
2015-03-19,-0.06332992849846783
